date,state,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2021-07-02,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08744592467970681,0.8239399935004109
2021-07-01,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08744592467970681,0.823939993500411
2021-06-30,ID,4,46,3,53,0.08,0.9433962264150944,0.08744592467970681,0.8239399935004111
2021-06-29,ID,3,34,10,47,0.08108108108108109,0.7872340425531915,0.08767916083131032,0.823784488627925
2021-06-28,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.08737434473702053,0.8244177206441358
2021-06-27,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08708516023730972,0.8250251064556033
2021-06-26,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08708516023730972,0.8250251064556032
2021-06-25,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08708516023730972,0.8250251064556033
2021-06-24,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08708516023730972,0.8250251064556032
2021-06-23,ID,4,45,3,52,0.08163265306122448,0.9423076923076923,0.08708516023730972,0.8250251064556033
2021-06-22,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.08685192408570622,0.8251806113280892
2021-06-21,ID,3,36,10,49,0.07692307692307693,0.7959183673469388,0.08685192408570622,0.8251806113280892
2021-06-20,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08657719881098094,0.8305256064690026
2021-06-19,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08598657496454316,0.8359164420485176
2021-06-18,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08539595111810534,0.8413072776280323
2021-06-17,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08480532727166755,0.8466981132075472
2021-06-16,ID,4,46,3,53,0.08,0.9433962264150944,0.08421470342522974,0.8520889487870619
2021-06-15,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.08926964848017481,0.8574797843665769
2021-06-14,ID,3,37,8,48,0.075,0.8333333333333334,0.09541305577890945,0.8639180739681318
2021-06-13,ID,4,41,8,53,0.08888888888888889,0.8490566037735849,0.10212037285208019,0.8644039826173058
2021-06-12,ID,4,41,8,53,0.08888888888888889,0.8490566037735849,0.10846957920128653,0.8644039826173058
2021-06-11,ID,4,41,8,53,0.08888888888888889,0.8490566037735849,0.11481878555049288,0.8644039826173058
2021-06-10,ID,4,41,8,53,0.08888888888888889,0.8490566037735849,0.12116799189969922,0.8644039826173058
2021-06-09,ID,6,46,1,53,0.11538461538461539,0.9811320754716981,0.127950098681806,0.8639893029573431
2021-06-08,ID,5,36,8,49,0.12195121951219512,0.8367346938775511,0.12827330488736516,0.8639374679998476
2021-06-07,ID,5,36,8,49,0.12195121951219512,0.8367346938775511,0.12870884495705157,0.8634515593506737
2021-06-06,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.12914438502673797,0.8629656507014998
2021-06-05,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.13231898820134114,0.8629656507014998
2021-06-04,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.13549359137594433,0.8629656507014998
2021-06-03,ID,6,38,8,52,0.13636363636363635,0.8461538461538461,0.13549359137594433,0.8629656507014998
2021-06-02,ID,6,45,1,52,0.11764705882352941,0.9807692307692307,0.1350606909430439,0.8633803303614626
2021-06-01,ID,5,35,8,48,0.125,0.8333333333333334,0.13473748473748476,0.8634321653189578
2021-05-31,ID,5,35,8,48,0.125,0.8333333333333334,0.13473748473748476,0.8634321653189578
2021-05-30,ID,7,38,8,53,0.15555555555555556,0.8490566037735849,0.13473748473748476,0.8634321653189578
2021-05-29,ID,7,38,8,53,0.15555555555555556,0.8490566037735849,0.13156288156288157,0.8634321653189578
2021-05-28,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.1283882783882784,0.8634321653189578
2021-05-27,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.1283882783882784,0.8634321653189578
2021-05-26,ID,6,46,1,53,0.11538461538461539,0.9811320754716981,0.1283882783882784,0.8634321653189578
2021-05-25,ID,5,35,8,48,0.125,0.8333333333333334,0.1283882783882784,0.8634321653189578
2021-05-24,ID,5,35,8,48,0.125,0.8333333333333334,0.12124542124542126,0.8634321653189578
2021-05-23,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.11384124006075226,0.8639180739681318
2021-05-22,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.10749203371154592,0.8639180739681318
2021-05-21,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.10114282736233957,0.8639180739681318
2021-05-20,ID,6,39,8,53,0.13333333333333333,0.8490566037735849,0.09479362101313323,0.8639180739681318
2021-05-19,ID,6,46,1,53,0.11538461538461539,0.9811320754716981,0.08844441466392687,0.8639180739681318
2021-05-18,ID,3,37,8,48,0.075,0.8333333333333334,0.08316537997312747,0.8638662390106365
2021-05-17,ID,3,38,8,49,0.07317073170731707,0.8367346938775511,0.08316537997312747,0.8638662390106363
2021-05-16,ID,4,41,8,53,0.08888888888888889,0.8490566037735849,0.08342670401493932,0.8633803303614626
2021-05-15,ID,4,41,8,53,0.08888888888888889,0.8490566037735849,0.08046855105678637,0.8629656507014998
2021-05-14,ID,4,41,8,53,0.08888888888888889,0.8490566037735849,0.07426364485188017,0.862550971041537
2021-05-13,ID,4,41,8,53,0.08888888888888889,0.8490566037735849,0.07130549189372719,0.8621362913815744
2021-05-12,ID,4,47,1,52,0.0784313725490196,0.9807692307692307,0.06834733893557424,0.8617216117216117
2021-05-11,ID,3,37,8,48,0.075,0.8333333333333334,0.06554621848739496,0.8617216117216117
2021-05-10,ID,3,37,8,48,0.075,0.8333333333333334,0.06554621848739496,0.8617216117216117
2021-05-09,ID,3,41,8,52,0.06818181818181818,0.8461538461538461,0.06528489444558312,0.8622075203707856
2021-05-08,ID,2,42,8,52,0.045454545454545456,0.8461538461538461,0.06853164769233636,0.8622075203707856
2021-05-07,ID,3,41,8,52,0.06818181818181818,0.8461538461538461,0.07502515418584287,0.8622075203707856
2021-05-06,ID,3,41,8,52,0.06818181818181818,0.8461538461538461,0.07827190743259611,0.8622075203707856
2021-05-05,ID,3,48,1,52,0.058823529411764705,0.9807692307692307,0.08151866067934935,0.8622075203707856
2021-05-04,ID,3,37,8,48,0.075,0.8333333333333334,0.08454387076338296,0.8621536526698591
2021-05-03,ID,3,38,8,49,0.07317073170731707,0.8367346938775511,0.08454387076338298,0.8621536526698591
2021-05-02,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08480519480519481,0.8616677440206851
2021-05-01,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08480519480519481,0.8616677440206851
2021-04-30,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.0848051948051948,0.8616677440206851
2021-04-29,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.0848051948051948,0.8616677440206851
2021-04-28,ID,4,46,1,51,0.08,0.9803921568627451,0.08480519480519481,0.8616677440206851
2021-04-27,ID,3,37,8,48,0.075,0.8333333333333334,0.08458110516934046,0.8617216117216117
2021-04-26,ID,3,37,8,48,0.075,0.8333333333333334,0.08458110516934048,0.8617216117216119
2021-04-25,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08458110516934046,0.8617216117216117
2021-04-24,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08458110516934048,0.8617216117216117
2021-04-23,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08458110516934048,0.8617216117216119
2021-04-22,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08458110516934048,0.8617216117216117
2021-04-21,ID,4,47,1,52,0.0784313725490196,0.9807692307692307,0.08458110516934046,0.8617216117216117
2021-04-20,ID,3,37,8,48,0.075,0.8333333333333334,0.0817799847211612,0.8617216117216117
2021-04-19,ID,3,37,8,48,0.075,0.8333333333333334,0.0817799847211612,0.8617216117216119
2021-04-18,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08151866067934935,0.8622075203707856
2021-04-17,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08151866067934935,0.8622075203707856
2021-04-16,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08151866067934935,0.8622075203707856
2021-04-15,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08151866067934935,0.8622075203707856
2021-04-14,ID,3,48,1,52,0.058823529411764705,0.9807692307692307,0.07827190743259611,0.8622075203707856
2021-04-13,ID,3,37,8,48,0.075,0.8333333333333334,0.08129711751662971,0.8621536526698591
2021-04-12,ID,3,38,8,49,0.07317073170731707,0.8367346938775511,0.08103579347481789,0.8626395613190331
2021-04-11,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08103579347481786,0.8626395613190331
2021-04-10,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08103579347481786,0.8626395613190331
2021-04-09,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08103579347481786,0.862639561319033
2021-04-08,ID,3,41,8,52,0.06818181818181818,0.8461538461538461,0.08103579347481786,0.8626395613190331
2021-04-07,ID,4,46,1,51,0.08,0.9803921568627451,0.08428254672157111,0.8626395613190331
2021-04-06,ID,3,38,8,49,0.07317073170731707,0.8367346938775511,0.08405845708571678,0.8626934290199596
2021-04-05,ID,3,38,8,49,0.07317073170731707,0.8367346938775511,0.08431978112752862,0.8622075203707856
2021-04-04,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08458110516934048,0.8617216117216117
2021-04-03,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08458110516934046,0.8617216117216117
2021-04-02,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08458110516934048,0.8617216117216119
2021-04-01,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.08458110516934048,0.8617216117216117
2021-03-31,ID,4,47,1,52,0.0784313725490196,0.9807692307692307,0.08458110516934046,0.8617216117216117
2021-03-30,ID,3,37,8,48,0.075,0.8333333333333334,0.08458110516934048,0.8617216117216117
2021-03-29,ID,3,37,8,48,0.075,0.8333333333333334,0.08458110516934046,0.8617216117216119
2021-03-28,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.0810096765979119,0.8617216117216117
2021-03-27,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.07776292335115866,0.8617216117216117
2021-03-26,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.07451617010440541,0.8617216117216117
2021-03-25,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.07126941685765216,0.8617216117216117
2021-03-24,ID,4,47,1,52,0.0784313725490196,0.9807692307692307,0.07126941685765216,0.8617216117216117
2021-03-23,ID,3,37,8,48,0.075,0.8333333333333334,0.07126941685765216,0.8617216117216117
2021-03-22,ID,2,38,8,48,0.05,0.8333333333333334,0.07126941685765216,0.8617216117216117
2021-03-21,ID,3,41,8,52,0.06818181818181818,0.8461538461538461,0.07126941685765216,0.8617216117216117
2021-03-20,ID,3,41,8,52,0.06818181818181818,0.8461538461538461,0.07776292335115866,0.8617216117216119
2021-03-19,ID,3,41,8,52,0.06818181818181818,0.8461538461538461,0.08425642984466515,0.8617216117216117
2021-03-18,ID,4,40,8,52,0.09090909090909091,0.8461538461538461,0.09074993633817163,0.8617216117216117
2021-03-17,ID,4,47,1,52,0.0784313725490196,0.9807692307692307,0.09399668958492488,0.8617216117216119
2021-03-16,ID,3,37,8,48,0.075,0.8333333333333334,0.09679781003310416,0.8617216117216119
2021-03-15,ID,2,38,8,48,0.05,0.8333333333333334,0.09679781003310416,0.8617216117216117
2021-03-14,ID,5,39,8,52,0.11363636363636363,0.8461538461538461,0.10359223512021218,0.8622075203707856
2021-03-13,ID,5,39,8,52,0.11363636363636363,0.8461538461538461,0.10034548187345893,0.8622075203707856
2021-03-12,ID,5,39,8,52,0.11363636363636363,0.8461538461538461,0.09709872862670568,0.8622075203707856
2021-03-11,ID,5,39,8,52,0.11363636363636363,0.8461538461538461,0.09385197537995242,0.8622075203707856
2021-03-10,ID,5,46,1,52,0.09803921568627451,0.9807692307692307,0.09060522213319919,0.8622075203707856
