date,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2022-07-14,830,3919,1452,6201,0.17477363655506423,0.7658442186744073,0.1771544924732506,0.7668025778821109
2022-07-13,858,4059,1282,6199,0.174496644295302,0.793192450395225,0.17700012810872323,0.7667932400592594
2022-07-12,793,3415,1375,5583,0.18845057034220533,0.753716639799391,0.1775251006155089,0.766819520512838
2022-07-11,785,3430,1374,5589,0.18623962040332148,0.7541599570585078,0.17721423482432552,0.7665582591329588
2022-07-10,808,3945,1442,6195,0.16999789606564275,0.7672316384180791,0.17678835384315314,0.7672458993562692
2022-07-09,807,3962,1430,6199,0.16921786538058292,0.769317631876109,0.17634237539108596,0.7679008679930067
2022-07-08,838,3899,1462,6199,0.17690521427063544,0.764155508953057,0.17590780203874234,0.7676967592880898
2022-07-07,824,3920,1451,6195,0.1736930860033727,0.7657788539144471,0.17597198533643685,0.7675433144874869
2022-07-06,875,4036,1279,6190,0.17817145184280186,0.7933764135702747,0.17645724643110294,0.7677116731198639
2022-07-05,779,3403,1380,5562,0.18627450980392157,0.7518878101402373,0.17621941608612948,0.7674154629137365
2022-07-04,775,3454,1343,5572,0.1832584535351147,0.7589734386216799,0.1765347254559507,0.7678128529265434
2022-07-03,797,3979,1412,6188,0.16687604690117253,0.7718164188752424,0.1769669200726375,0.7674670705945928
2022-07-02,790,3964,1437,6191,0.16617585191417752,0.7678888709416896,0.177147712361092,0.7667567823777361
2022-07-01,838,3887,1467,6192,0.17735449735449735,0.7630813953488372,0.17736776278333194,0.7669697786662434
2022-06-30,841,3908,1443,6192,0.17708991366603496,0.7669573643410853,0.17710675261273767,0.767333511305682
2022-06-29,864,4031,1291,6186,0.17650663942798775,0.7913029421273844,0.1769671235883587,0.767697333382991
2022-06-28,792,3410,1366,5568,0.18848167539267016,0.7546695402298851,0.1768150555331131,0.7681781731760096
2022-06-27,785,3429,1356,5570,0.18628381585192216,0.7565529622980252,0.17676624952577047,0.7680045465655368
2022-06-26,798,3948,1443,6189,0.168141592920354,0.7668444013572467,0.17731342846707654,0.7676572467800022
2022-06-25,799,3965,1428,6192,0.16771620486985725,0.7693798449612403,0.17702771046384178,0.7678616139804714
2022-06-24,832,3908,1451,6191,0.17552742616033756,0.7656275238249072,0.1769078010550031,0.7675992292890526
2022-06-23,839,3925,1427,6191,0.17611251049538204,0.7695041188822485,0.1771485300184937,0.7678321636735129
2022-06-22,863,4056,1271,6190,0.17544216304126856,0.7946688206785137,0.17680036529675763,0.7675236187781048
2022-06-21,790,3409,1374,5573,0.18814003334127175,0.7534541539565763,0.17704298955446654,0.7673492790804456
2022-06-20,800,3408,1372,5580,0.19011406844106463,0.7541218637992831,0.17682031595717995,0.7677200386911354
2022-06-19,791,3970,1436,6197,0.16614156689771056,0.7682749717605293,0.17657824244675055,0.7680285448676915
2022-06-18,794,3964,1441,6199,0.16687683900798655,0.7675431521213099,0.17645326069937856,0.7681225011752054
2022-06-17,843,3914,1443,6200,0.1772125289047719,0.767258064516129,0.17635311968597728,0.7680479965689297
2022-06-16,826,3930,1442,6198,0.1736753574432296,0.7673443046143917,0.17594593241465012,0.7677606807557419
2022-06-15,871,4046,1280,6197,0.17714053284523082,0.7934484427949008,0.1762568690909794,0.7677145829361687
2022-06-14,787,3431,1361,5579,0.18658131816026552,0.7560494712314034,0.17635436309085417,0.7676867642615122
2022-06-13,794,3420,1358,5572,0.18841955386805886,0.7562814070351759,0.17691886419368966,0.7673282770774291
