,date,state,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported
20442,2022-02-03,NE,29,68,2
18036,2022-02-03,NH,6,20,4
12269,2022-02-03,NJ,14,72,10
11743,2022-02-03,NM,25,31,1
15320,2022-02-03,NV,0,9,50
19881,2022-02-03,NY,14,183,11
17971,2022-02-03,OH,3,109,123
18981,2022-02-03,OK,52,90,9
22686,2022-02-03,OR,9,50,6
12570,2022-02-03,PA,53,171,6
15262,2022-02-03,PR,3,11,52
24986,2022-02-03,RI,7,6,2
21800,2022-02-03,SC,25,58,5
16828,2022-02-03,SD,6,49,10
16137,2022-02-03,TN,23,117,3
13811,2022-02-03,TX,16,105,475
24348,2022-02-03,UT,2,48,9
21212,2022-02-03,VA,23,64,20
17066,2022-02-03,VI,2,0,0
22958,2022-02-03,VT,12,4,1
12846,2022-02-03,WA,20,83,2
18206,2022-02-03,WI,51,79,20
21059,2022-02-03,WV,29,30,4
22071,2022-02-03,WY,8,18,5
11979,2022-02-02,AK,6,16,2
15542,2022-02-02,AL,48,52,17
18595,2022-02-02,AR,26,83,2
21350,2022-02-02,AS,1,0,0
18094,2022-02-02,AZ,14,85,21
16596,2022-02-02,CA,160,224,30
12505,2022-02-02,CO,21,66,20
23865,2022-02-02,CT,2,31,7
20690,2022-02-02,DC,0,13,1
17542,2022-02-02,DE,5,10,1
13323,2022-02-02,FL,40,171,60
12709,2022-02-02,GA,47,90,34
16299,2022-02-02,HI,3,23,0
21702,2022-02-02,IA,9,29,88
18052,2022-02-02,ID,7,41,4
19071,2022-02-02,IL,29,147,26
21897,2022-02-02,IN,37,128,3
11713,2022-02-02,KS,47,97,7
15275,2022-02-02,KY,42,72,3
25103,2022-02-02,LA,48,173,6
21084,2022-02-02,MA,32,70,1
19550,2022-02-02,MD,12,36,12
16313,2022-02-02,ME,4,21,14
13903,2022-02-02,MI,47,112,4
23597,2022-02-02,MN,26,110,4
20389,2022-02-02,MO,44,72,25
17129,2022-02-02,MS,22,85,3
23250,2022-02-02,MT,10,52,4
13951,2022-02-02,NC,13,107,12
17688,2022-02-02,ND,15,34,1
21341,2022-02-02,NE,30,67,2
22594,2022-02-02,NH,5,21,4
12918,2022-02-02,NJ,17,78,1
15214,2022-02-02,NM,23,32,2
18505,2022-02-02,NV,0,10,49
21632,2022-02-02,NY,16,181,11
18827,2022-02-02,OH,46,166,23
16009,2022-02-02,OK,58,89,4
12426,2022-02-02,OR,10,48,7
24167,2022-02-02,PA,50,174,6
21499,2022-02-02,PR,8,45,13
16955,2022-02-02,RI,7,6,2
13290,2022-02-02,SC,24,59,5
12336,2022-02-02,SD,7,55,3
16345,2022-02-02,TN,23,117,3
18703,2022-02-02,TX,16,108,472
14634,2022-02-02,UT,3,47,9
22124,2022-02-02,VA,23,64,20
21062,2022-02-02,VI,2,0,0
17356,2022-02-02,VT,13,3,1
13649,2022-02-02,WA,21,82,2
19589,2022-02-02,WI,52,77,21
21964,2022-02-02,WV,29,30,4
13124,2022-02-02,WY,6,20,5
16366,2022-02-01,AK,6,14,2
20559,2022-02-01,AL,43,46,24
19412,2022-02-01,AR,22,72,2
22692,2022-02-01,AS,1,0,0
12159,2022-02-01,AZ,15,65,27
20653,2022-02-01,CA,152,185,39
16954,2022-02-01,CO,18,57,20
14154,2022-02-01,CT,2,23,8
25155,2022-02-01,DC,0,13,1
21531,2022-02-01,DE,4,5,2
17655,2022-02-01,FL,39,143,60
13914,2022-02-01,GA,45,78,35
24026,2022-02-01,HI,3,18,4
22497,2022-02-01,IA,7,19,96
11908,2022-02-01,ID,6,40,3
15970,2022-02-01,IL,20,141,25
20125,2022-02-01,IN,34,98,3
19880,2022-02-01,KS,42,95,7
23018,2022-02-01,KY,39,64,3
11647,2022-02-01,LA,54,166,7
15633,2022-02-01,MA,26,56,1
17112,2022-02-01,MD,12,31,10
13488,2022-02-01,ME,4,19,13
24435,2022-02-01,MI,40,114,4
14306,2022-02-01,MN,23,80,28
24419,2022-02-01,MO,43,57,25
21700,2022-02-01,MS,21,79,3
17252,2022-02-01,MT,10,50,4
13535,2022-02-01,NC,10,62,48
18439,2022-02-01,ND,15,31,1
22521,2022-02-01,NE,31,63,1
12855,2022-02-01,NH,4,20,5
16008,2022-02-01,NJ,14,55,11
15799,2022-02-01,NM,23,25,5
19965,2022-02-01,NV,0,2,55
22352,2022-02-01,NY,15,153,11
11797,2022-02-01,OH,5,74,121
20181,2022-02-01,OK,47,87,8
16917,2022-02-01,OR,12,44,7
14473,2022-02-01,PA,50,156,6
22538,2022-02-01,PR,3,10,54
21038,2022-02-01,RI,7,5,2
17787,2022-02-01,SC,22,49,5
14000,2022-02-01,SD,5,56,3
25045,2022-02-01,TN,49,69,3
21915,2022-02-01,TX,17,76,412
11824,2022-02-01,UT,2,42,9
16311,2022-02-01,VA,23,59,20
17401,2022-02-01,VI,2,0,0
19320,2022-02-01,VT,13,3,1
22986,2022-02-01,WA,20,73,2
11959,2022-02-01,WI,51,70,21
16448,2022-02-01,WV,29,30,4
17604,2022-02-01,WY,8,17,5
14276,2022-01-31,AK,6,14,2
23965,2022-01-31,AL,43,46,25
13438,2022-01-31,AR,22,72,2
23133,2022-01-31,AS,1,0,0
19924,2022-01-31,AZ,32,66,9
14905,2022-01-31,CA,155,184,38
14287,2022-01-31,CO,25,55,15
18966,2022-01-31,CT,2,23,8
22672,2022-01-31,DC,0,13,1
12585,2022-01-31,DE,2,8,1
15281,2022-01-31,FL,39,142,61
21623,2022-01-31,GA,44,79,35
25244,2022-01-31,HI,3,18,4
13396,2022-01-31,IA,9,18,95
12642,2022-01-31,ID,6,39,3
20673,2022-01-31,IL,23,140,25
17413,2022-01-31,IN,37,96,3
13947,2022-01-31,KS,46,91,7
23814,2022-01-31,KY,38,65,3
19748,2022-01-31,LA,52,168,6
16503,2022-01-31,MA,26,56,1
11591,2022-01-31,MD,12,30,11
24701,2022-01-31,ME,4,19,13
22194,2022-01-31,MI,46,109,4
12087,2022-01-31,MN,23,82,26
15730,2022-01-31,MO,46,55,25
18498,2022-01-31,MS,22,78,3
24735,2022-01-31,MT,13,47,4
14618,2022-01-31,NC,10,62,48
13188,2022-01-31,ND,15,31,1
15931,2022-01-31,NE,30,64,1
17022,2022-01-31,NH,5,20,5
13751,2022-01-31,NJ,14,55,11
24213,2022-01-31,NM,20,28,4
13664,2022-01-31,NV,0,6,51
23422,2022-01-31,NY,14,154,11
19386,2022-01-31,OH,3,75,122
17891,2022-01-31,OK,47,81,8
14565,2022-01-31,OR,10,46,7
19081,2022-01-31,PA,52,154,6
21912,2022-01-31,PR,3,11,53
68,2022-01-31,RI,8,4,2
15370,2022-01-31,SC,21,50,5
21711,2022-01-31,SD,2,59,3
24725,2022-01-31,TN,50,69,3
22850,2022-01-31,TX,16,77,412
13135,2022-01-31,UT,3,41,9
20789,2022-01-31,VA,25,57,20
18012,2022-01-31,VI,2,0,0
13424,2022-01-31,VT,13,3,1
23530,2022-01-31,WA,23,70,2
19897,2022-01-31,WI,51,71,20
16138,2022-01-31,WV,29,30,4
14042,2022-01-31,WY,10,17,2
25220,2022-01-30,AK,6,15,2
22522,2022-01-30,AL,42,48,27
12900,2022-01-30,AR,24,86,2
15200,2022-01-30,AS,1,0,0
18474,2022-01-30,AZ,33,79,9
25113,2022-01-30,CA,152,226,37
22377,2022-01-30,CO,26,66,15
12694,2022-01-30,CT,3,28,8
15841,2022-01-30,DC,0,13,1
13030,2022-01-30,DE,4,11,1
13630,2022-01-30,FL,37,173,61
24588,2022-01-30,GA,43,94,35
12030,2022-01-30,HI,4,18,4
24642,2022-01-30,IA,8,15,103
20187,2022-01-30,ID,6,44,3
18218,2022-01-30,IL,24,154,26
14508,2022-01-30,IN,41,124,3
18607,2022-01-30,KS,44,100,7
24361,2022-01-30,KY,43,71,3
13851,2022-01-30,LA,54,166,6
17304,2022-01-30,MA,23,79,1
19482,2022-01-30,MD,14,35,11
21862,2022-01-30,ME,3,22,14
13014,2022-01-30,MI,48,111,4
16218,2022-01-30,MN,24,90,26
16947,2022-01-30,MO,45,71,25
15773,2022-01-30,MS,20,87,3
12217,2022-01-30,MT,11,50,4
22304,2022-01-30,NC,11,73,48
21287,2022-01-30,ND,14,35,1
16747,2022-01-30,NE,27,71,1
14770,2022-01-30,NH,6,18,6
24913,2022-01-30,NJ,17,69,10
24957,2022-01-30,NM,24,31,2
14077,2022-01-30,NV,0,8,51
17376,2022-01-30,NY,14,183,11
20624,2022-01-30,OH,4,108,123
22482,2022-01-30,OK,34,100,17
11924,2022-01-30,OR,7,51,7
15927,2022-01-30,PA,47,176,7
20107,2022-01-30,PR,4,11,52
16350,2022-01-30,RI,8,5,2
12754,2022-01-30,SC,24,59,5
22045,2022-01-30,SD,5,57,3
11920,2022-01-30,TN,53,87,3
23622,2022-01-30,TX,16,106,470
20929,2022-01-30,UT,4,46,9
18123,2022-01-30,VA,25,62,20
14371,2022-01-30,VI,2,0,0
21127,2022-01-30,VT,11,5,1
24927,2022-01-30,WA,21,82,2
13925,2022-01-30,WI,47,81,22
16745,2022-01-30,WV,30,29,4
18728,2022-01-30,WY,10,19,2
22449,2022-01-29,AK,6,16,2
13113,2022-01-29,AL,42,48,27
15863,2022-01-29,AR,22,88,2
19677,2022-01-29,AS,1,0,0
16437,2022-01-29,AZ,34,78,9
12329,2022-01-29,CA,144,234,37
22049,2022-01-29,CO,25,67,15
20549,2022-01-29,CT,3,28,8
17278,2022-01-29,DC,0,13,1
14873,2022-01-29,DE,4,11,1
24546,2022-01-29,FL,38,172,61
24424,2022-01-29,GA,43,94,35
14316,2022-01-29,HI,4,18,4
17488,2022-01-29,IA,7,19,100
21686,2022-01-29,ID,5,45,3
21955,2022-01-29,IL,24,154,26
11838,2022-01-29,IN,40,125,3
16267,2022-01-29,KS,46,98,7
17387,2022-01-29,KY,43,71,3
13301,2022-01-29,LA,54,166,6
23830,2022-01-29,MA,22,80,1
21500,2022-01-29,MD,15,34,11
12697,2022-01-29,ME,3,22,14
24001,2022-01-29,MI,48,111,4
20871,2022-01-29,MN,24,90,26
17615,2022-01-29,MO,45,71,25
13554,2022-01-29,MS,20,87,3
19853,2022-01-29,MT,11,50,4
23476,2022-01-29,NC,11,73,48
11715,2022-01-29,ND,14,35,1
17946,2022-01-29,NE,28,70,1
19011,2022-01-29,NH,6,19,5
22714,2022-01-29,NJ,17,69,10
12596,2022-01-29,NM,25,31,1
15297,2022-01-29,NV,0,8,53
18031,2022-01-29,NY,14,183,11
14714,2022-01-29,OH,4,113,118
23531,2022-01-29,OK,33,100,18
22955,2022-01-29,OR,8,50,7
20584,2022-01-29,PA,47,176,7
17342,2022-01-29,PR,2,8,57
14033,2022-01-29,RI,8,5,2
23826,2022-01-29,SC,24,59,5
23125,2022-01-29,SD,5,57,3
13010,2022-01-29,TN,53,87,3
14946,2022-01-29,TX,16,105,471
21254,2022-01-29,UT,4,46,9
22325,2022-01-29,VA,25,62,20
12252,2022-01-29,VI,2,0,0
15713,2022-01-29,VT,11,5,1
18622,2022-01-29,WA,22,81,2
14448,2022-01-29,WI,45,83,22
25022,2022-01-29,WV,29,30,4
23498,2022-01-29,WY,10,19,2
12969,2022-01-28,AK,6,16,2
24309,2022-01-28,AL,43,48,26
20408,2022-01-28,AR,22,88,2
16722,2022-01-28,AS,1,0,0
13884,2022-01-28,AZ,32,80,9
19758,2022-01-28,CA,153,224,38
22973,2022-01-28,CO,29,63,15
14124,2022-01-28,CT,3,28,8
18278,2022-01-28,DC,0,13,1
18867,2022-01-28,DE,6,9,1
22151,2022-01-28,FL,39,171,61
11682,2022-01-28,GA,42,95,35
15655,2022-01-28,HI,3,19,4
18135,2022-01-28,IA,9,19,98
14365,2022-01-28,ID,6,44,3
12525,2022-01-28,IL,26,152,26
23424,2022-01-28,IN,41,124,3
20803,2022-01-28,KS,45,99,7
16988,2022-01-28,KY,44,70,3
13306,2022-01-28,LA,54,166,6
24266,2022-01-28,MA,33,69,1
23218,2022-01-28,MD,15,34,11
12768,2022-01-28,ME,4,21,14
17713,2022-01-28,MI,52,107,4
21778,2022-01-28,MN,24,90,26
22425,2022-01-28,MO,43,73,25
12889,2022-01-28,MS,21,86,3
15185,2022-01-28,MT,12,49,4
18481,2022-01-28,NC,11,74,47
13729,2022-01-28,ND,16,33,1
23859,2022-01-28,NE,32,66,1
20244,2022-01-28,NH,6,19,5
17445,2022-01-28,NJ,17,69,10
16911,2022-01-28,NM,26,30,1
20614,2022-01-28,NV,0,8,53
19051,2022-01-28,NY,15,182,11
21850,2022-01-28,OH,5,108,122
17776,2022-01-28,OK,47,96,8
14485,2022-01-28,OR,11,48,6
25047,2022-01-28,PA,53,171,6
21208,2022-01-28,PR,2,12,53
15288,2022-01-28,RI,8,5,2
12147,2022-01-28,SC,24,59,5
24312,2022-01-28,SD,6,56,3
20342,2022-01-28,TN,53,87,3
19687,2022-01-28,TX,16,107,469
23313,2022-01-28,UT,4,46,9
13107,2022-01-28,VA,25,62,20
15967,2022-01-28,VI,2,0,0
20560,2022-01-28,VT,12,4,1
24126,2022-01-28,WA,21,82,2
22675,2022-01-28,WI,54,76,20
11699,2022-01-28,WV,30,29,4
14429,2022-01-28,WY,11,18,2
24995,2022-01-27,AK,6,16,2
20156,2022-01-27,AL,44,48,25
17791,2022-01-27,AR,29,81,2
11966,2022-01-27,AS,1,0,0
22516,2022-01-27,AZ,33,79,9
19251,2022-01-27,CA,159,219,37
16895,2022-01-27,CO,27,65,15
23156,2022-01-27,CT,2,29,8
13065,2022-01-27,DC,0,13,1
15258,2022-01-27,DE,4,11,1
19359,2022-01-27,FL,42,168,61
17007,2022-01-27,GA,46,92,34
20286,2022-01-27,HI,3,19,4
25163,2022-01-27,IA,9,21,96
22412,2022-01-27,ID,6,44,3
17863,2022-01-27,IL,27,151,26
14165,2022-01-27,IN,39,126,3
24193,2022-01-27,KS,50,94,7
21492,2022-01-27,KY,46,68,3
15205,2022-01-27,LA,55,165,6
11598,2022-01-27,MA,33,69,1
23402,2022-01-27,MD,15,34,11
20671,2022-01-27,ME,4,24,11
19468,2022-01-27,MI,53,106,4
22818,2022-01-27,MN,24,90,26
12292,2022-01-27,MO,44,72,25
16305,2022-01-27,MS,22,85,3
20435,2022-01-27,MT,12,49,4
23579,2022-01-27,NC,11,62,59
14757,2022-01-27,ND,16,33,1
12049,2022-01-27,NE,32,66,1
14150,2022-01-27,NH,6,19,5
25159,2022-01-27,NJ,16,69,11
20696,2022-01-27,NM,27,29,1
16985,2022-01-27,NV,0,4,57
11674,2022-01-27,NY,15,182,11
22634,2022-01-27,OH,4,107,124
19840,2022-01-27,OK,51,92,8
16119,2022-01-27,OR,10,49,6
21934,2022-01-27,PA,47,176,7
12304,2022-01-27,PR,2,10,54
16292,2022-01-27,RI,8,5,2
19545,2022-01-27,SC,24,59,5
12038,2022-01-27,SD,6,56,3
15149,2022-01-27,TN,53,87,3
19278,2022-01-27,TX,17,108,468
23396,2022-01-27,UT,4,46,9
17993,2022-01-27,VA,25,62,20
14290,2022-01-27,VI,2,0,0
23541,2022-01-27,VT,12,4,1
20822,2022-01-27,WA,21,82,2
17150,2022-01-27,WI,53,77,20
13573,2022-01-27,WV,29,30,4
24397,2022-01-27,WY,11,18,2
21689,2022-01-26,AK,6,16,2
19799,2022-01-26,AL,47,50,20
23038,2022-01-26,AR,30,80,2
11678,2022-01-26,AS,1,0,0
15674,2022-01-26,AZ,33,84,3
15521,2022-01-26,CA,163,219,33
18777,2022-01-26,CO,27,71,9
22856,2022-01-26,CT,2,30,7
13129,2022-01-26,DC,0,13,1
14680,2022-01-26,DE,6,9,1
24811,2022-01-26,FL,42,168,61
20328,2022-01-26,GA,44,93,35
17519,2022-01-26,HI,3,23,0
12627,2022-01-26,IA,11,39,76
23534,2022-01-26,ID,6,44,3
21247,2022-01-26,IL,29,151,24
17998,2022-01-26,IN,40,125,3
22047,2022-01-26,KS,46,98,7
12781,2022-01-26,KY,45,69,3
15528,2022-01-26,LA,55,165,5
19168,2022-01-26,MA,33,69,1
18139,2022-01-26,MD,12,47,1
15645,2022-01-26,ME,4,22,13
19340,2022-01-26,MI,44,115,4
23098,2022-01-26,MN,24,91,25
17246,2022-01-26,MO,56,70,15
14821,2022-01-26,MS,23,84,3
23649,2022-01-26,MT,15,49,1
20495,2022-01-26,NC,12,108,12
16287,2022-01-26,ND,15,34,1
13880,2022-01-26,NE,31,67,1
24402,2022-01-26,NH,5,7,18
21395,2022-01-26,NJ,17,75,4
18802,2022-01-26,NM,28,28,1
23333,2022-01-26,NV,0,4,57
11540,2022-01-26,NY,15,183,10
15128,2022-01-26,OH,42,167,26
21528,2022-01-26,OK,59,89,3
19065,2022-01-26,OR,11,52,2
22794,2022-01-26,PA,46,178,6
12686,2022-01-26,PR,9,50,8
13695,2022-01-26,RI,7,6,2
25129,2022-01-26,SC,25,58,5
20226,2022-01-26,SD,6,56,3
16959,2022-01-26,TN,54,86,3
13080,2022-01-26,TX,17,107,469
22796,2022-01-26,UT,2,48,9
21334,2022-01-26,VA,26,61,20
18079,2022-01-26,VI,2,0,0
25230,2022-01-26,VT,12,4,1
14036,2022-01-26,WA,21,82,2
15994,2022-01-26,WI,52,77,21
19702,2022-01-26,WV,30,29,4
16013,2022-01-26,WY,11,18,2
19720,2022-01-25,AK,6,15,2
23350,2022-01-25,AL,41,46,26
12589,2022-01-25,AR,23,71,2
13509,2022-01-25,AS,1,0,0
24045,2022-01-25,AZ,32,65,9
22623,2022-01-25,CA,157,183,36
18555,2022-01-25,CO,25,55,15
17897,2022-01-25,CT,1,24,8
14575,2022-01-25,DC,0,13,1
25147,2022-01-25,DE,3,7,1
21224,2022-01-25,FL,41,140,61
18826,2022-01-25,GA,43,79,35
22561,2022-01-25,HI,3,18,4
12416,2022-01-25,IA,10,19,93
16912,2022-01-25,ID,6,40,3
19670,2022-01-25,IL,28,135,25
23305,2022-01-25,IN,39,92,3
11552,2022-01-25,KS,50,87,7
15979,2022-01-25,KY,40,63,3
23995,2022-01-25,LA,55,165,5
20885,2022-01-25,MA,27,55,1
17644,2022-01-25,MD,15,33,5
15019,2022-01-25,ME,3,21,12
14856,2022-01-25,MI,52,102,4
24979,2022-01-25,MN,23,83,26
20505,2022-01-25,MO,43,55,26
17704,2022-01-25,MS,23,78,2
22597,2022-01-25,MT,15,45,4
12032,2022-01-25,NC,11,49,60
16064,2022-01-25,ND,14,32,1
20218,2022-01-25,NE,30,64,1
16039,2022-01-25,NH,5,5,19
19364,2022-01-25,NJ,15,55,10
22573,2022-01-25,NM,27,25,1
12858,2022-01-25,NV,0,2,57
13444,2022-01-25,NY,12,156,11
23544,2022-01-25,OH,2,73,124
21685,2022-01-25,OK,53,73,10
18860,2022-01-25,OR,9,50,4
17879,2022-01-25,PA,43,162,6
14043,2022-01-25,PR,3,7,57
24231,2022-01-25,RI,7,5,2
21516,2022-01-25,SC,23,49,5
18494,2022-01-25,SD,6,55,3
22663,2022-01-25,TN,51,68,3
12933,2022-01-25,TX,16,78,411
16112,2022-01-25,UT,2,42,9
19349,2022-01-25,VA,24,57,20
23420,2022-01-25,VI,2,0,0
12091,2022-01-25,VT,12,4,1
15235,2022-01-25,WA,24,69,2
23726,2022-01-25,WI,53,67,22
20823,2022-01-25,WV,28,31,4
17995,2022-01-25,WY,12,15,2
14242,2022-01-24,AK,6,14,2
14059,2022-01-24,AL,40,48,25
25056,2022-01-24,AR,25,70,2
20634,2022-01-24,AS,1,0,0
16915,2022-01-24,AZ,33,63,9
24389,2022-01-24,CA,159,181,37
14728,2022-01-24,CO,25,56,15
17289,2022-01-24,CT,1,24,8
20394,2022-01-24,DC,0,13,1
16208,2022-01-24,DE,4,6,1
19484,2022-01-24,FL,40,141,61
21857,2022-01-24,GA,42,81,34
12221,2022-01-24,HI,3,18,4
15436,2022-01-24,IA,9,22,91
11956,2022-01-24,ID,5,41,3
22844,2022-01-24,IL,28,135,25
20043,2022-01-24,IN,40,91,3
18132,2022-01-24,KS,49,88,7
14356,2022-01-24,KY,40,63,3
23658,2022-01-24,LA,55,165,5
20919,2022-01-24,MA,27,55,1
19474,2022-01-24,MD,15,33,5
23546,2022-01-24,ME,3,20,13
14219,2022-01-24,MI,52,102,4
18385,2022-01-24,MN,23,82,26
19876,2022-01-24,MO,43,55,26
23099,2022-01-24,MS,23,78,2
11717,2022-01-24,MT,13,47,4
15363,2022-01-24,NC,12,48,60
24520,2022-01-24,ND,15,31,1
22233,2022-01-24,NE,29,65,1
19868,2022-01-24,NH,5,6,18
16621,2022-01-24,NJ,16,53,11
13379,2022-01-24,NM,26,26,1
24775,2022-01-24,NV,0,2,57
20756,2022-01-24,NY,12,156,11
17504,2022-01-24,OH,2,73,124
22795,2022-01-24,OK,52,75,10
13459,2022-01-24,OR,12,47,4
18134,2022-01-24,PA,45,161,6
21677,2022-01-24,PR,3,9,55
15474,2022-01-24,RI,7,5,2
20056,2022-01-24,SC,22,49,5
22036,2022-01-24,SD,6,55,3
11936,2022-01-24,TN,53,67,3
14546,2022-01-24,TX,16,77,412
12295,2022-01-24,UT,3,40,10
22803,2022-01-24,VA,24,57,20
19481,2022-01-24,VI,2,0,0
17118,2022-01-24,VT,12,4,1
14738,2022-01-24,WA,23,70,2
23567,2022-01-24,WI,50,69,22
20372,2022-01-24,WV,29,30,4
20029,2022-01-24,WY,11,16,2
22840,2022-01-23,AK,5,17,2
14340,2022-01-23,AL,42,48,27
18098,2022-01-23,AR,26,84,2
18882,2022-01-23,AS,1,0,0
23423,2022-01-23,AZ,34,84,3
11653,2022-01-23,CA,161,218,36
15236,2022-01-23,CO,29,63,15
25063,2022-01-23,CT,2,30,8
21065,2022-01-23,DC,0,13,1
19495,2022-01-23,DE,5,10,1
16239,2022-01-23,FL,41,170,60
13911,2022-01-23,GA,41,95,35
23599,2022-01-23,HI,3,19,4
20464,2022-01-23,IA,6,19,101
17209,2022-01-23,ID,7,43,3
22639,2022-01-23,IL,28,151,26
11654,2022-01-23,IN,45,120,3
15239,2022-01-23,KS,47,97,7
18898,2022-01-23,KY,50,63,4
12014,2022-01-23,LA,55,165,5
22536,2022-01-23,MA,25,76,1
19256,2022-01-23,MD,16,39,5
16885,2022-01-23,ME,2,23,14
16072,2022-01-23,MI,54,104,4
19797,2022-01-23,MN,24,90,26
23442,2022-01-23,MO,45,71,25
12601,2022-01-23,MS,21,87,2
17057,2022-01-23,MT,13,49,4
20749,2022-01-23,NC,13,58,60
19179,2022-01-23,ND,12,37,1
22050,2022-01-23,NE,26,72,1
24907,2022-01-23,NH,7,5,18
21734,2022-01-23,NJ,15,70,11
16762,2022-01-23,NM,25,29,2
14119,2022-01-23,NV,0,4,57
22585,2022-01-23,NY,15,182,11
18873,2022-01-23,OH,3,106,125
16038,2022-01-23,OK,42,89,19
13261,2022-01-23,OR,9,52,4
20095,2022-01-23,PA,46,177,7
23294,2022-01-23,PR,3,4,60
11880,2022-01-23,RI,8,4,3
15883,2022-01-23,SC,23,60,5
20912,2022-01-23,SD,7,55,3
24039,2022-01-23,TN,53,87,3
14400,2022-01-23,TX,19,99,476
11671,2022-01-23,UT,3,46,10
21675,2022-01-23,VA,26,61,20
17945,2022-01-23,VI,2,0,0
13355,2022-01-23,VT,12,4,1
24276,2022-01-23,WA,20,82,2
11668,2022-01-23,WI,49,79,22
22647,2022-01-23,WV,30,29,4
19805,2022-01-23,WY,9,20,2
16070,2022-01-22,AK,5,17,2
16056,2022-01-22,AL,42,50,25
19240,2022-01-22,AR,26,84,2
22568,2022-01-22,AS,1,0,0
12869,2022-01-22,AZ,32,86,3
16976,2022-01-22,CA,158,220,37
20202,2022-01-22,CO,27,65,15
25135,2022-01-22,CT,2,30,8
22394,2022-01-22,DC,0,13,1
24367,2022-01-22,DE,5,10,1
21838,2022-01-22,FL,42,168,61
17295,2022-01-22,GA,42,94,35
13587,2022-01-22,HI,3,19,4
22041,2022-01-22,IA,6,20,100
19177,2022-01-22,ID,7,43,3
16397,2022-01-22,IL,30,149,26
12798,2022-01-22,IN,44,121,3
19254,2022-01-22,KS,52,92,7
23330,2022-01-22,KY,48,65,4
11957,2022-01-22,LA,55,165,5
15127,2022-01-22,MA,25,76,1
20195,2022-01-22,MD,14,41,5
24170,2022-01-22,ME,3,22,14
14501,2022-01-22,MI,53,105,4
17819,2022-01-22,MN,24,90,26
20343,2022-01-22,MO,46,70,25
17547,2022-01-22,MS,25,83,2
14654,2022-01-22,MT,11,51,4
24797,2022-01-22,NC,13,58,60
13790,2022-01-22,ND,14,35,1
23552,2022-01-22,NE,25,73,1
21200,2022-01-22,NH,7,6,17
18365,2022-01-22,NJ,15,70,11
16328,2022-01-22,NM,26,28,2
19573,2022-01-22,NV,0,4,57
21981,2022-01-22,NY,13,184,11
12325,2022-01-22,OH,3,106,125
12125,2022-01-22,OK,42,90,19
15286,2022-01-22,OR,8,53,4
19368,2022-01-22,PA,44,179,7
23163,2022-01-22,PR,2,6,59
23634,2022-01-22,RI,8,4,3
21359,2022-01-22,SC,24,59,5
17250,2022-01-22,SD,6,56,3
13964,2022-01-22,TN,53,87,3
22805,2022-01-22,TX,19,94,480
20452,2022-01-22,UT,3,46,10
18109,2022-01-22,VA,26,61,20
14820,2022-01-22,VI,2,0,0
18581,2022-01-22,VT,12,4,1
23115,2022-01-22,WA,23,79,2
12141,2022-01-22,WI,51,77,22
15694,2022-01-22,WV,31,28,4
21137,2022-01-22,WY,10,19,2
18711,2022-01-21,AK,5,17,2
23217,2022-01-21,AL,41,51,25
13101,2022-01-21,AR,26,84,2
16371,2022-01-21,AS,1,0,0
17831,2022-01-21,AZ,34,84,3
13699,2022-01-21,CA,165,212,38
24196,2022-01-21,CO,27,65,15
13158,2022-01-21,CT,2,30,8
22859,2022-01-21,DC,0,13,1
21352,2022-01-21,DE,6,9,1
17852,2022-01-21,FL,45,165,61
15366,2022-01-21,GA,45,90,36
19961,2022-01-21,HI,4,18,4
21877,2022-01-21,IA,6,21,99
11754,2022-01-21,ID,7,43,3
18058,2022-01-21,IL,30,149,26
15676,2022-01-21,IN,47,118,3
19380,2022-01-21,KS,49,95,7
23076,2022-01-21,KY,44,70,3
24150,2022-01-21,LA,55,165,5
20158,2022-01-21,MA,33,68,1
16871,2022-01-21,MD,13,42,5
13628,2022-01-21,ME,3,22,14
23524,2022-01-21,MI,51,107,4
19401,2022-01-21,MN,24,90,26
17951,2022-01-21,MO,48,68,25
14650,2022-01-21,MS,25,83,2
19098,2022-01-21,MT,13,49,4
21950,2022-01-21,NC,15,57,59
11827,2022-01-21,ND,16,33,1
15414,2022-01-21,NE,33,65,1
21642,2022-01-21,NH,6,6,18
24444,2022-01-21,NJ,16,69,11
23005,2022-01-21,NM,25,30,1
12898,2022-01-21,NV,0,4,59
15853,2022-01-21,NY,16,181,11
12636,2022-01-21,OH,2,108,124
22308,2022-01-21,OK,53,90,8
25037,2022-01-21,OR,10,49,6
14505,2022-01-21,PA,47,177,6
25055,2022-01-21,PR,3,9,55
20186,2022-01-21,RI,8,5,2
17846,2022-01-21,SC,24,59,5
15344,2022-01-21,SD,7,55,3
19030,2022-01-21,TN,53,87,3
22743,2022-01-21,TX,20,101,472
13437,2022-01-21,UT,3,46,10
15756,2022-01-21,VA,25,62,20
19909,2022-01-21,VI,2,0,0
23121,2022-01-21,VT,12,4,1
12614,2022-01-21,WA,21,80,3
20847,2022-01-21,WI,56,73,21
17145,2022-01-21,WV,30,29,4
14240,2022-01-21,WY,11,18,2
11580,2022-01-20,AK,5,17,2
25118,2022-01-20,AL,41,52,24
21517,2022-01-20,AR,26,84,2
16888,2022-01-20,AS,1,0,0
14031,2022-01-20,AZ,32,80,9
